Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA10,MA20,MA50,pre_close,price_change,p_change,nasdaq,Target
2012-03-14,20.644643783569336,21.239999771118164,20.549999237060547,21.056428909301758,17.82636260986328,1418844000,19.97742919921875,19.57357177734375,19.02303590774536,17.14541431427002,20.28928565979004,0.7671432495117188,3.781026411551137,2706.25,20.912857055664062
2012-03-15,21.414642333984375,21.42892837524414,20.662500381469727,20.912857055664062,17.70481300354004,1159718000,20.288643264770506,19.7203218460083,19.179982280731203,17.26993574142456,21.056428909301758,-0.1435718536376953,-0.6818433185233603,2715.75,20.9132137298584
2012-03-16,20.882856369018555,21.042856216430664,20.64285659790039,20.9132137298584,17.705106735229492,825487600,20.577214431762695,19.86457176208496,19.32883939743042,17.3928857421875,20.912857055664062,0.0003566741943359375,0.001705525903928729,2719.75,21.467857360839844
2012-03-19,21.370357513427734,21.491785049438477,21.037500381469727,21.467857360839844,18.1746826171875,901236000,20.92792854309082,20.107214546203615,19.505589389801024,17.523650035858154,20.9132137298584,0.5546436309814453,2.652120511681878,2727.75,21.641429901123047
2012-03-20,21.41107177734375,21.674999237060547,21.124286651611328,21.641429901123047,18.321622848510742,816662000,21.198357391357423,20.377571868896485,19.668285846710205,17.654764347076416,21.467857360839844,0.17357254028320312,0.8085228878025896,2735.5,21.51785659790039
2012-03-21,21.52642822265625,21.77321434020996,21.47892951965332,21.51785659790039,18.21700668334961,644042000,21.290642929077148,20.63403606414795,19.828035831451416,17.783885765075684,21.641429901123047,-0.12357330322265625,-0.5710034123773107,2735.25,21.405000686645508
2012-03-22,21.349285125732422,21.58928680419922,21.26892852783203,21.405000686645508,18.121463775634766,623870800,21.389071655273437,20.838857460021973,19.97616090774536,17.90967149734497,21.51785659790039,-0.11285591125488281,-0.5244756174548294,2731.25,21.287500381469727
2012-03-23,21.44607162475586,21.492856979370117,21.22857093811035,21.287500381469727,18.02198600769043,430488800,21.463928985595704,21.0205717086792,20.107660961151122,18.03360008239746,21.405000686645508,-0.11750030517578125,-0.548938572326649,2728.75,21.6778564453125
2012-03-26,21.421070098876953,21.683929443359375,21.259286880493164,21.6778564453125,18.35246467590332,595742000,21.505928802490235,21.216928672790527,20.25269660949707,18.166164360046388,21.287500381469727,0.39035606384277344,1.8337336786735623,2777.0,21.945714950561523
2012-03-27,21.6492862701416,22.010000228881836,21.645000457763672,21.945714950561523,18.579233169555664,607129600,21.56678581237793,21.382571601867674,20.39389305114746,18.30521438598633,21.6778564453125,0.26785850524902344,1.2356318805079258,2775.75,22.057857513427734
